FELH650
Integration time [ms]:   2.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 473.85;   -4.151;   -1.396; 5490.087;-0.05017
 474.44;   -1.616;   -5.928; 5707.870; 0.07546
 475.03;   -7.045;   -1.295; 5882.932;-0.09771
 475.62;  -10.980;   -2.937; 6042.660;-0.13303
 476.21;   -4.889;   -3.493; 6245.435;-0.02234
 476.80;   -5.547;   -7.363; 6365.243; 0.02850
 477.39;  -12.513;   -6.963; 6609.082;-0.08387
 477.98;   -5.752;  -13.991; 6770.293; 0.12144
 478.57;   -4.322;   -9.060; 7084.455; 0.06680
 479.16;   -1.851;   -7.460; 7168.857; 0.07816
 479.75;  -10.145;   -7.266; 7405.879;-0.03884
 480.34;   -4.123;   -5.864; 7515.562; 0.02314
 480.93;   -0.223;  -10.490; 7695.571; 0.13324
 481.52;   -6.313;   -7.596; 7916.509; 0.01619
 482.11;   -6.761;   -9.897; 8166.140; 0.03835
 482.69;   -6.086;   -1.559; 8252.410;-0.05485
 483.28;   -6.149;   -3.495; 8572.656;-0.03095
 483.87;   -1.824;   -5.225; 8755.255; 0.03883
 484.46;   -3.710;   -9.689; 8997.380; 0.06639
 485.05;   -7.449;   -6.161; 9022.556;-0.01426
 485.64;  -13.707;   -6.934; 9306.561;-0.07272
 486.23;   -7.790;   -4.297; 9450.316;-0.03694
 486.82;   -5.521;   -3.825; 9603.104;-0.01765
 487.41;  -13.156;   -2.833; 9847.113;-0.10480
 488.00;    0.340;   -4.357;10023.682; 0.04683
 488.58;   -6.976;   -4.958;10022.977;-0.02012
 489.17;   -2.273;   -4.360;10186.983; 0.02048
 489.76;   -7.353;   -3.428;10468.401;-0.03749
 490.35;    1.194;   -8.089;10755.382; 0.08625
 490.94;  -19.877;   -8.139;10773.033;-0.10887
 491.53;   -1.150;   -4.756;10883.649; 0.03312
 492.12;    0.261;  -13.661;11062.770; 0.12568
 492.70;   -7.410;   -3.194;11175.448;-0.03772
 493.29;   -2.615;   -9.226;11190.999; 0.05902
 493.88;   -6.430;   -5.826;11386.977;-0.00530
 494.47;  -10.558;  -10.430;11514.789;-0.00111
 495.06;    1.439;   -9.958;11662.433; 0.09764
 495.65;   -5.673;   -4.493;11689.463;-0.01009
 496.24;   -4.932;   -7.160;11802.854; 0.01887
