
Integration time [ms]:   2.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 431.91;  503.209;  -11.088; 1170.989;43.50787
 432.50;  587.147;  -16.290; 1232.441;48.32401
 433.10;  648.848;  -12.057; 1227.720;53.30833
 433.69;  717.844;   -5.788; 1258.164;57.25153
 434.28;  722.309;  -11.188; 1241.091;58.57302
 434.87;  815.979;   -8.156; 1361.485;60.17158
 435.46;  797.212;  -11.623; 1318.729;60.79854
 436.05;  859.712;  -11.889; 1394.179;61.98854
 436.65;  859.945;   -4.756; 1388.995;62.04127
 437.24;  842.583;  -14.425; 1391.446;60.95919
 437.83;  866.483;   -8.325; 1392.104;62.46712
 438.42;  866.615;  -15.791; 1411.681;61.81598
 439.01;  867.911;   -9.456; 1439.699;60.54337
 439.60;  900.548;  -13.024; 1471.465;61.54122
 440.19;  906.011;  -12.089; 1472.242;61.85276
 440.79;  955.015;  -12.991; 1519.750;63.15522
 441.38;  987.080;  -15.757; 1536.891;64.58879
 441.97;  991.813;  -11.923; 1532.049;65.01000
 442.56; 1018.276;  -13.821; 1566.378;65.31440
 443.15; 1028.110;   -7.322; 1573.964;65.48039
 443.74; 1072.211;  -15.155; 1600.823;67.28840
 444.33; 1107.111;   -7.589; 1618.789;68.53879
 444.93; 1146.415;  -12.524; 1656.825;69.42462
 445.52; 1169.346;   -9.490; 1652.411;70.93298
 446.11; 1195.612;  -16.623; 1681.039;71.40616
 446.70; 1254.649;  -14.724; 1735.226;72.53764
 447.29; 1258.849;  -11.925; 1736.157;72.69535
 447.88; 1331.945;  -12.523; 1810.070;73.76677
 448.47; 1342.048;  -10.324; 1814.407;74.11353
 449.06; 1391.080;  -12.123; 1889.134;73.80395
 449.65; 1440.119;  -11.093; 1930.409;74.74686
 450.24; 1511.648;   -6.424; 2024.363;74.75291
 450.84; 1504.178;   -9.322; 2002.614;75.22607
 451.43; 1534.213;  -14.056; 2018.530;76.17239
 452.02; 1606.352;  -11.593; 2125.731;75.69958
 452.61; 1595.280;  -17.257; 2121.363;75.40082
 453.20; 1653.613;  -14.857; 2151.079;77.03229
 453.79; 1774.582;  -10.691; 2305.097;77.09137
 454.38; 1814.013;  -11.223; 2337.974;77.69617
 454.97; 1849.884;  -11.859; 2395.971;77.32037
 455.56; 1855.612;  -13.456; 2379.465;78.10824
 456.15; 1933.449;  -17.524; 2502.440;77.42066
 456.74; 1926.678;  -15.322; 2473.824;78.01869
 457.33; 1974.982;   -6.791; 2581.480;76.56743
 457.92; 1985.849;  -10.691; 2614.018;76.06710
 458.51; 2065.683;  -12.425; 2685.272;77.03267
 459.10; 2036.182;  -12.724; 2640.410;77.22586
 459.69; 2110.250;  -15.958; 2773.518;76.22249
 460.28; 2145.312;   -9.923; 2784.779;77.11861
 460.88; 2155.883;   -9.992; 2839.262;76.01552
 461.47; 2192.011;  -10.822; 2905.344;75.53868
 462.06; 2240.781;  -10.157; 2952.632;75.97360
 462.65; 2288.385;  -10.326; 3049.212;75.13260
 463.24; 2296.748;  -16.657; 3091.388;74.43280
 463.83; 2240.914;   -9.690; 3037.613;73.85560
 464.42; 2334.785;  -10.126; 3158.827;73.99639
 465.01; 2347.713;  -18.523; 3169.838;74.21480
 465.60; 2355.380;  -14.756; 3238.096;72.86331
