FES0800
Integration time [ms]:   2.000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 430.73;  704.826;   -2.655; 1746.035;40.45778
 431.32;  852.246;  -11.541; 1878.226;45.70866
 431.91;  940.818;    2.006; 1712.263;54.89301
 432.50; 1184.055;   -1.729; 1876.741;63.12503
 433.10; 1344.000;   14.728; 1841.812;72.75375
 433.69; 1377.095;  -12.055; 1866.586;73.94441
 434.28; 1266.145;   11.741; 1875.106;67.31927
 434.87; 1138.690;   -2.583; 1925.436;59.19406
 435.46;  988.881;    1.605; 1921.122;51.43355
 436.05;  895.867;   -3.962; 1959.201;45.83570
 436.65;  761.954;    4.970; 1812.179;41.88688
 437.24;  857.791;   -4.565; 1872.056;45.95260
 437.83;  934.798;   10.964; 1829.168;50.81027
 438.42; 1060.534;   -8.399; 1818.765;58.50228
 439.01; 1263.050;    0.206; 1895.373;66.63497
 439.60; 1374.547;  -10.432; 1904.686;72.31819
 440.19; 1365.414;   12.160; 1959.916;69.47760
 440.79; 1291.032;  -10.781; 2047.762;63.23953
 441.38; 1041.341;    0.012; 1963.418;53.03687
 441.97;  912.448;   -5.458; 1990.429;45.98990
 442.56;  830.256;    6.035; 2050.323;40.31823
 443.15;  732.095;  -11.755; 1969.886;37.53707
 443.74;  755.929;    2.309; 2031.641;37.13638
 444.33;  777.830;   -2.100; 2002.942;38.89844
 444.93;  909.953;    1.915; 2042.595;44.49680
 445.52; 1024.824;   -2.620; 1975.591;51.93804
 446.11; 1181.201;   17.610; 2004.154;58.57362
 446.70; 1513.452;   -9.176; 2156.094;70.32046
 447.29; 1629.182;    9.223; 2164.442;75.16447
 447.88; 1482.474;  -11.533; 2012.412;73.81660
 448.47; 1351.540;   -9.261; 2035.475;66.55142
 449.06; 1301.133;   -4.608; 2246.805;57.99651
 449.65; 1145.362;    4.854; 2223.428;51.40726
 450.24; 1078.321;   -1.875; 2216.045;48.70311
 450.84; 1048.365;    7.555; 2234.198;46.74348
 451.43; 1164.537;    0.657; 2333.411;49.89296
 452.02; 1238.944;    6.831; 2339.099;52.82896
 452.61; 1333.364;    0.082; 2219.555;60.07202
 453.20; 1468.251;   15.515; 2262.034;64.66610
 453.79; 1641.048;   -0.240; 2374.388;69.11770
 454.38; 1698.828;   -6.655; 2528.796;67.26544
 454.97; 1473.682;  -10.259; 2426.801;60.89063
 455.56; 1296.807;    2.448; 2527.864;51.25329
 456.15; 1187.768;   -9.635; 2634.419;45.28662
 456.74;  917.629;   11.118; 2544.739;35.77924
 457.33;  812.335;   -7.108; 2562.766;31.88648
 457.92;  765.659;   -0.947; 2623.405;29.21123
 458.51;  747.898;   -2.527; 2647.367;28.31905
 459.10;  752.137;   -2.334; 2574.371;29.28048
 459.69;  776.043;   -2.269; 2607.738;29.82030
 460.28;  854.095;   -1.137; 2552.245;33.49408
 460.88;  979.234;   -6.281; 2706.724;36.32557
 461.47; 1119.740;    3.403; 2660.958;42.00618
 462.06; 1343.291;  -12.774; 2701.396;49.96240
 462.65; 1558.504;   -1.571; 2757.935;56.53456
 463.24; 1813.427;   11.163; 2857.055;63.32863
 463.83; 1886.279;    7.741; 2727.878;69.06042
 464.42; 2088.119;  -19.121; 2802.659;74.67768
 465.01; 2136.129;   -1.773; 2814.399;75.91518
 465.60; 2422.037;   -5.843; 2974.911;81.45187
 466.19; 2450.995;    4.063; 3042.045;80.54465
 466.78; 2524.470;   -7.844; 3106.282;81.31701
 467.37; 2426.190;    2.844; 3135.455;77.35868
 467.96; 2113.053;   -7.585; 3066.695;68.97997
 468.55; 1691.450;    5.496; 2981.267;56.65603
 469.14; 1335.161;  -18.355; 3091.668;43.52111
 469.73;  983.470;   -3.135; 3183.981;30.95602
 470.32;  722.030;   -1.527; 3270.277;22.11493
 470.91;  536.047;    6.386; 3324.845;15.96104
 471.50;  381.242;  -20.379; 3337.278;11.96133
 472.09;  272.683;   -4.585; 3408.544; 8.12359
 472.67;  221.646;   -9.905; 3530.244; 6.54071
 473.26;  172.325;   -1.792; 3538.209; 4.91856
 473.85;  131.925;  -22.192; 3501.609; 4.37360
 474.44;  116.372;   -0.161; 3645.185; 3.19677
 475.03;  105.647;  -20.114; 3649.045; 3.42751
 475.62;   72.292;   15.099; 3565.939; 1.61068
 476.21;   69.914;  -20.468; 3986.751; 2.25548
 476.80;   54.916;    6.496; 3917.295; 1.23810
 477.39;   60.899;  -11.345; 4075.869; 1.76756
 477.98;   54.085;    2.333; 4242.564; 1.22049
 478.57;   66.406;   -9.589; 4381.038; 1.73083
 479.16;   66.605;   -0.580; 4333.237; 1.55024
 479.75;   58.519;  -18.457; 4430.942; 1.73005
 480.34;   68.294;    0.908; 4500.461; 1.49761
 480.93;   76.194;   -0.356; 4444.078; 1.72236
 481.52;   81.716;    5.996; 4502.495; 1.68397
 482.11;  117.803;   -4.880; 4547.475; 2.69494
 482.69;  147.537;   -4.498; 4387.888; 3.46134
 483.28;  199.864;   -1.782; 4544.272; 4.43562
 483.87;  344.946;   -6.187; 4873.402; 7.19595
 484.46;  463.631;   -8.318; 4880.037; 9.65455
 485.05;  509.564;   -0.282; 4927.372;10.34662
 485.64;  477.586;   -0.130; 5224.989; 9.14268
 486.23;  355.486;    5.988; 5118.148; 6.83660
 486.82;  204.453;   -2.057; 5085.614; 4.05904
 487.41;  142.706;   14.375; 5352.521; 2.40403
 488.00;   99.003;   -5.844; 5601.292; 1.86988
 488.58;   63.651;    5.969; 5143.309; 1.12279
 489.17;   58.694;  -10.974; 5092.619; 1.36507
 489.76;   47.473;    2.230; 5377.187; 0.84174
 490.35;   41.930;   -2.609; 5460.135; 0.81532
 490.94;   25.335;   -3.444; 5440.249; 0.52866
 491.53;   40.116;   -7.077; 5225.314; 0.90194
 492.12;   19.986;   -1.594; 5099.107; 0.42307
 492.70;   39.695;   -4.682; 5479.521; 0.80918
 493.29;   28.628;    2.990; 5752.374; 0.44592
 493.88;   35.924;   -5.065; 5549.867; 0.73789
 494.47;   22.410;    0.749; 5521.987; 0.39232
 495.06;   34.155;  -13.375; 5238.817; 0.90496
 495.65;   29.402;   -9.453; 5260.032; 0.73736
 496.24;   46.892;   -5.956; 5717.017; 0.92343
 496.82;   61.353;    3.225; 5721.355; 1.01657
 497.41;   69.750;   -9.513; 5688.568; 1.39105
