
Integration time [ms]:   2.000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1601059U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 456.74;  669.979;   -4.339; 2983.772;22.56670
 457.33;  759.666;   -6.566; 3116.277;24.53634
 457.92;  916.015;  -17.132; 3147.048;29.49095
 458.51; 1237.994;   -1.997; 3225.815;38.41583
 459.10; 1599.404;   -2.232; 3172.937;50.44257
 459.69; 2013.052;   -5.462; 3292.166;61.21109
 460.28; 2189.481;   -8.037; 3356.801;65.30829
 460.88; 2090.001;   -9.162; 3417.823;61.25393
 461.47; 1820.869;   -6.906; 3453.109;52.82565
 462.06; 1552.542;   -8.734; 3538.023;44.01982
 462.65; 1413.644;   -4.060; 3661.843;38.67270
 463.24; 1373.684;   -8.599; 3710.895;37.16321
 463.83; 1392.785;   -2.201; 3673.720;37.94930
 464.42; 1590.075;   -3.693; 3822.504;41.65410
 465.01; 1871.851;  -10.569; 3843.614;48.84097
 465.60; 2275.832;   -8.936; 3937.962;57.88770
 466.19; 2753.748;   -5.204; 4086.535;67.42738
 466.78; 3079.076;   -7.961; 4116.362;74.84955
 467.37; 3235.546;  -14.097; 4208.934;76.95049
 467.96; 3149.569;   -8.632; 4273.831;73.74731
 468.55; 2941.541;  -10.922; 4333.169;67.96503
 469.14; 2796.024;   -6.061; 4411.185;63.43513
 469.73; 2726.174;   -6.028; 4581.497;59.55721
 470.32; 2749.297;   -7.359; 4669.876;58.93773
 470.91; 2906.528;   -9.395; 4791.522;60.73680
 471.50; 3176.680;   -1.999; 4906.392;64.76011
 472.09; 3579.398;   -3.164; 5054.452;70.83499
 472.67; 3898.160;  -10.395; 5180.191;75.30084
 473.26; 4269.249;   -6.396; 5340.213;79.96929
 473.85; 4428.649;   -1.396; 5471.446;80.94597
 474.44; 4422.146;   -5.928; 5711.657;77.44658
 475.03; 4271.028;   -1.295; 5846.655;73.05677
 475.62; 4077.174;   -2.937; 6023.144;67.70754
 476.21; 3909.064;   -3.493; 6222.884;62.83842
 476.80; 3841.597;   -7.363; 6377.369;60.28382
 477.39; 3859.064;   -6.963; 6509.277;59.32911
 477.98; 4041.442;  -13.991; 6771.735;59.76417
 478.57; 4364.747;   -9.060; 7043.505;62.01726
 479.16; 4745.779;   -7.460; 7118.207;66.70588
 479.75; 5273.434;   -7.266; 7334.349;71.92832
 480.34; 5778.087;   -5.864; 7516.458;76.89050
 480.93; 6231.494;  -10.490; 7711.179;80.83724
 481.52; 6587.631;   -7.596; 7914.902;83.24680
 482.11; 6744.072;   -9.897; 8161.268;82.65613
 482.69; 6643.612;   -1.559; 8273.291;80.30563
 483.28; 6623.596;   -3.495; 8596.944;77.05526
 483.87; 6421.397;   -5.225; 8739.534;73.49112
 484.46; 6370.369;   -9.689; 8968.017;71.06557
 485.05; 6327.563;   -6.161; 9023.778;70.14139
 485.64; 6504.067;   -6.934; 9281.001;70.10170
 486.23; 6724.803;   -4.297; 9381.479;71.69467
 486.82; 7050.078;   -3.825; 9568.483;73.69073
 487.41; 7548.440;   -2.833; 9811.984;76.93748
 488.00; 7990.812;   -4.357; 9990.356;79.99399
 488.58; 8301.939;   -4.958;10040.656;82.69178
 489.17; 8548.557;   -4.360;10173.335;84.03589
 489.76; 8777.215;   -3.428;10477.521;83.77717
 490.35; 8752.667;   -8.089;10694.920;81.85321
 490.94; 8581.592;   -8.139;10733.656;79.96551
 491.53; 8373.006;   -4.756;10904.321;76.79625
 492.12; 8185.774;  -13.661;11015.722;74.34173
 492.70; 8008.259;   -3.194;11106.866;72.10990
 493.29; 7960.527;   -9.226;11140.080;71.48205
 493.88; 8143.784;   -5.826;11335.392;71.85833
 494.47; 8355.586;  -10.430;11508.916;72.62579
 495.06; 8664.415;   -9.958;11625.345;74.55219
 495.65; 8951.273;   -4.493;11655.847;76.80536
 496.24; 9359.520;   -7.160;11746.506;79.69156
 496.82; 9764.108;   -7.962;11826.639;82.57203
 497.41;10119.876;   -9.922;12025.633;84.16561
 498.00;10379.361;   -2.434;12224.942;84.90616
 498.59;10517.198;  -10.691;12360.757;85.09828
 499.18;10404.330;   -3.765;12351.371;84.24104
 499.77;10292.368;   -2.796;12437.331;82.75771
 500.35;10187.608;  -15.932;12590.157;80.94136
 500.94;10010.023;   -6.257;12624.183;79.30270
 501.53;10033.415;   -8.089;12940.743;77.54757
 502.12; 9961.344;   -9.327;12937.009;77.01538
 502.71;10069.196;   -7.564;13084.954;76.96579
 503.29;10245.753;   -8.793;13284.656;77.13984
 503.88;10510.507;  -12.266;13372.476;78.61767
 504.47;10677.688;   -8.459;13461.887;79.33090
